Dataset,MrSQM-R (secs),MrSQM-RS (secs),MrSQM-SR (secs),MrSQM-S (secs)
ACSF1,37.239,35.72,32.886,42.242
Adiac,27.057,29.833,41.937,49.801
ArrowHead,3.104,3.481,3.157,3.763
Beef,2.823,2.878,2.676,3.551
BeetleFly,1.951,2.86,2.276,2.256
BirdChicken,1.793,2.521,1.875,2.283
BME,1.64,1.913,1.674,1.855
Car,5.079,6.504,6.241,6.051
CBF,6.484,7.562,5.883,6.29
Chinatown,0.424,0.568,0.313,0.339
ChlorineConcentration,51.09,51.614,45.049,45.52
CinCECGTorso,248.878,213.375,237.026,219.706
Coffee,1.579,1.986,1.713,1.881
Computers,25.14,27.161,34.629,30.895
CricketX,22.955,26.326,27.997,32.132
CricketY,31.093,23.443,30.627,33.659
CricketZ,25.785,26.217,28.183,27.645
Crop,679.825,794.02,557.32,664.088
DiatomSizeReduction,5.955,5.881,5.601,5.744
DistalPhalanxOutlineAgeGroup,4.375,5.169,5.25,7.861
DistalPhalanxOutlineCorrect,6.473,9.702,9.092,8.185
DistalPhalanxTW,6.16,6.751,6.288,7.86
Earthquakes,21.19,21.465,25.153,27.408
ECG200,1.773,1.831,1.918,1.985
ECG5000,39.201,38.762,41.95,43.94
ECGFiveDays,6.683,7.049,6.176,6.764
ElectricDevices,975.289,1343.564,1296.205,236.639
EOGHorizontalSignal,101.271,97.603,123.064,140.853
EOGVerticalSignal,111.508,100.65,121.721,146.173
EthanolLevel,164.39,172.156,178.613,198.331
FaceAll,29.828,28.925,26.855,27.738
FaceFour,3.06,3.991,3.855,3.329
FacesUCR,20.044,21.102,18.611,18.342
FiftyWords,80.257,68.803,54.93,80.561
Fish,11.868,10.56,12.133,13.486
FordA,291.792,272.857,302.508,324.001
FordB,258.882,255.417,299.995,312.652
FreezerRegularTrain,54.936,47.499,53.401,48.351
FreezerSmallTrain,52.278,48.688,44.413,45.701
Fungi,3.22,3.546,3.367,4.57
GunPoint,1.907,2.658,1.715,2.328
GunPointAgeSpan,3.703,4.895,4.085,4.889
GunPointMaleVersusFemale,3.737,5.058,5.568,4.84
GunPointOldVersusYoung,4.122,4.264,4.402,4.776
Ham,7.937,7.556,8.214,9.102
HandOutlines,527.934,415.844,500.622,557.436
Haptics,48.909,41.019,45.728,52.978
Herring,5.466,6.022,6.107,6.951
HouseTwenty,36.887,33.981,37.351,38.821
InlineSkate,136.458,129.688,134.554,131.609
InsectEPGRegularTrain,15.025,16.261,16.108,17.191
InsectEPGSmallTrain,12.081,14.052,13.357,13.439
InsectWingbeatSound,46.556,36.272,37.77,40.348
ItalyPowerDemand,0.869,1.318,0.987,0.909
LargeKitchenAppliances,35.183,34.513,36.138,40.904
Lightning2,6.775,7.319,9.032,8.382
Lightning7,5.273,4.697,7.222,5.939
Mallat,199.507,191.478,170.521,171.76
Meat,3.963,4.175,4.119,4.561
MedicalImages,14.691,16.002,13.31,16.49
MiddlePhalanxOutlineAgeGroup,3.95,4.188,5.099,8.062
